"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"e:\POS-EXPRESS\server-side\controller\con_add_product.js", "JavaScript", 0, 48, 0, 0, 14, 2, 64
"e:\POS-EXPRESS\server-side\controller\con_delete_product.js", "JavaScript", 0, 19, 0, 0, 13, 2, 34
"e:\POS-EXPRESS\server-side\controller\con_edit_product.js", "JavaScript", 0, 47, 0, 0, 12, 8, 67
"e:\POS-EXPRESS\server-side\controller\con_view_outstock.js", "JavaScript", 0, 13, 0, 0, 10, 5, 28
"e:\POS-EXPRESS\server-side\controller\con_view_product.js", "JavaScript", 0, 10, 0, 0, 9, 2, 21
"e:\POS-EXPRESS\server-side\db\db.js", "JavaScript", 0, 17, 0, 0, 7, 6, 30
"e:\POS-EXPRESS\server-side\index.js", "JavaScript", 0, 28, 0, 0, 10, 6, 44
"e:\POS-EXPRESS\server-side\package-lock.json", "JSON", 3269, 0, 0, 0, 0, 1, 3270
"e:\POS-EXPRESS\server-side\package.json", "JSON", 29, 0, 0, 0, 0, 1, 30
"e:\POS-EXPRESS\server-side\readme.md", "Markdown", 0, 0, 0, 3, 0, 2, 5
"e:\POS-EXPRESS\server-side\routes\add_product.js", "JavaScript", 0, 5, 0, 0, 6, 5, 16
"e:\POS-EXPRESS\server-side\routes\delete_product.js", "JavaScript", 0, 5, 0, 0, 7, 4, 16
"e:\POS-EXPRESS\server-side\routes\edit_product.js", "JavaScript", 0, 5, 0, 0, 6, 3, 14
"e:\POS-EXPRESS\server-side\routes\view_outstock_product.js", "JavaScript", 0, 5, 0, 0, 11, 2, 18
"e:\POS-EXPRESS\server-side\routes\view_product.js", "JavaScript", 0, 5, 0, 0, 12, 4, 21
"e:\POS-EXPRESS\server-side\schema\add_product_schema.js", "JavaScript", 0, 25, 0, 0, 13, 3, 41
"e:\POS-EXPRESS\server-side\testAPI.html", "HTML", 0, 0, 81, 0, 0, 13, 94
"Total", "-", 3298, 232, 81, 3, 130, 69, 3813
